	preference	preference	preference	preference	preference	preference	preference	preference
prompt_template	PNG	PNG	PNG	PNG	PNG+Text	PNG+Text	PNG+Text	PNG+Text
counterfactual	yes_pretty_no_pretty	yes_pretty_no_simple	yes_simple_no_pretty	yes_simple_no_simple	yes_pretty_no_pretty	yes_pretty_no_simple	yes_simple_no_pretty	yes_simple_no_simple
model								
claude-haiku	0.22641509433962265	0.8725490196078431	0.04807692307692308	0.5327102803738317	0.0	0.028985507246376812	0.0	0.0
claude-opus	0.3333333333333333	0.6732673267326733	0.21818181818181817	0.47959183673469385		0.0	0.0	0.0
claude-sonnet	0.037037037037037035	0.13541666666666666	0.016260162601626018	0.06666666666666667	0.0	0.0	0.0	0.0
gemini-1.5-pro						0.10784313725490197	0.09803921568627451	0.10377358490566038
gpt-4o	0.017699115044247787	0.016129032258064516	0.024793388429752067	0.016260162601626018	0.008	0.008064516129032258	0.008	0.008
