	date_count	date_count	date_count	date_count	date_count	date_count	date_count	date_count	date_count	date_count
prompt_template	Date	Date	Date Today	Date Today	Emph Src CNN/Nat	Emph Src CNN/Nat	Emph Src Wiki/WP	Emph Src Wiki/WP	Rank	Rank
stance	no	yes	no	yes	no	yes	no	yes	no	yes
model										
Llama-2-13b					0.005698005698005698	0.008547008547008548	0.008547008547008548	0.005698005698005698		
Llama-2-7b	0.016901408450704224	0.016901408450704224	0.01971830985915493	0.02535211267605634	0.005698005698005698	0.005698005698005698	0.005698005698005698	0.005698005698005698	0.0028169014084507044	0.0028169014084507044
Llama-3-8B	0.02535211267605634	0.01971830985915493	0.16338028169014085	0.15492957746478872			0.002849002849002849	0.005698005698005698	0.0028169014084507044	0.0028169014084507044
tulu-7b	0.028169014084507043	0.028169014084507043	0.05352112676056338	0.03943661971830986		0.008547008547008548	0.005698005698005698	0.008547008547008548	0.0	0.0028169014084507044
