	url_count	url_count	url_count	url_count	url_count	url_count	url_count	url_count	url_count	url_count	url_count	url_count	url_count	url_count
prompt_template	Date	Date	Date Today	Date Today	Emph Src CNN/Nat	Emph Src CNN/Nat	Emph Src Wiki/WP	Emph Src Wiki/WP	Emph URL CNN/Nat	Emph URL CNN/Nat	Emph URL Wiki/WP	Emph URL Wiki/WP	Rank	Rank
stance	no	yes	no	yes	no	yes	no	yes	no	yes	no	yes	no	yes
model														
Llama-2-13b					0.06552706552706553	0.05982905982905983	0.02564102564102564	0.022792022792022793						
Llama-2-7b	0.005633802816901409	0.005633802816901409	0.005633802816901409	0.005633802816901409	0.13105413105413105	0.11396011396011396	0.03418803418803419	0.02849002849002849					0.011267605633802818	0.0
Llama-3-8B	0.0028169014084507044	0.0028169014084507044	0.005633802816901409	0.0028169014084507044	0.36752136752136755	0.3646723646723647	0.1623931623931624	0.1396011396011396	0.05982905982905983	0.05128205128205128	0.1225071225071225	0.09686609686609686	0.005633802816901409	0.005633802816901409
tulu-7b	0.011267605633802818	0.008450704225352112	0.008450704225352112	0.008450704225352112	0.4415954415954416	0.4444444444444444	0.11965811965811966	0.10541310541310542					0.011267605633802818	0.011267605633802818
