	preference	preference	preference	preference	preference	preference	preference	preference	preference	preference	preference	preference	preference	preference
prompt_template	Date	Date	Date Today	Date Today	Emph Src CNN/Nat	Emph Src CNN/Nat	Emph Src Wiki/WP	Emph Src Wiki/WP	Emph URL CNN/Nat	Emph URL CNN/Nat	Emph URL Wiki/WP	Emph URL Wiki/WP	Rank	Rank
stance	no	yes	no	yes	no	yes	no	yes	no	yes	no	yes	no	yes
model														
Llama-2-13b					0.361003861003861	0.36329588014981273	0.3595505617977528	0.352059925093633						
Llama-2-7b	0.4534412955465587	0.4574468085106383	0.47098214285714285	0.5	0.4474708171206226	0.4566929133858268	0.47701149425287354	0.4860557768924303					0.4577777777777778	0.4782608695652174
Llama-3-8B	0.4199134199134199	0.4018264840182648	0.3968609865470852	0.4446902654867257	0.4008810572687225	0.4216589861751152	0.39955357142857145	0.40046296296296297	0.4117647058823529	0.41228070175438597	0.3933333333333333	0.3961352657004831	0.3986784140969163	0.4315068493150685
tulu-7b	0.4727626459143969	0.4801587301587302	0.4903100775193798	0.4817813765182186	0.5	0.5058823529411764	0.4900398406374502	0.4723320158102767					0.4725490196078431	0.48616600790513836
