	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio
prompt_template	Date	Date	Date Today	Date Today	Emph Src CNN/Nat	Emph Src CNN/Nat	Emph Src Wiki/WP	Emph Src Wiki/WP	Emph URL CNN/Nat	Emph URL CNN/Nat	Emph URL Wiki/WP	Emph URL Wiki/WP	Rank	Rank
stance	no	yes	no	yes	no	yes	no	yes	no	yes	no	yes	no	yes
model														
Llama-2-13b					0.2621082621082621	0.23931623931623933	0.23931623931623933	0.23931623931623933						
Llama-2-7b	0.30422535211267604	0.3380281690140845	0.36901408450704226	0.37464788732394366	0.2678062678062678	0.27635327635327633	0.2564102564102564	0.2849002849002849					0.36619718309859156	0.352112676056338
Llama-3-8B	0.3492957746478873	0.38309859154929576	0.37183098591549296	0.36338028169014086	0.35327635327635326	0.3817663817663818	0.36182336182336183	0.38461538461538464	0.32193732193732194	0.3504273504273504	0.358974358974359	0.41025641025641024	0.36056338028169016	0.38309859154929576
tulu-7b	0.27605633802816903	0.29014084507042254	0.27323943661971833	0.30422535211267604	0.245014245014245	0.27350427350427353	0.2849002849002849	0.2792022792022792					0.28169014084507044	0.28732394366197184
