	combined	combined	combined	combined	combined	combined	combined	combined
prompt_template	Date	Date Today	Emph Src CNN/Nat	Emph Src Wiki/WP	Emph URL CNN/Nat	Emph URL Wiki/WP	No Meta	Rank
model								
Llama-2-13b	0.00/0.00/0.00/ 0.00 / 0	0.00/0.00/0.00/ 0.00 / 0	0.00/0.00/0.61/ 0.02 / 223	0.00/0.00/0.60/ 0.03 / 219	0.00/0.00/0.00/ 0.00 / 0	0.00/0.00/0.00/ 0.00 / 0	0.00/0.00/0.00/ 0.00 / 0	0.00/0.00/0.00/ 0.00 / 0
Llama-2-7b	0.01/0.01/0.54/ 0.01 / 197	0.00/0.01/0.47/ 0.00 / 170	0.00/0.00/0.58/ 0.01 / 207	0.02/0.00/0.58/ 0.00 / 212	0.00/0.00/0.00/ 0.00 / 0	0.00/0.00/0.00/ 0.00 / 0	0.00/0.00/0.00/ 0.00 / 0	0.01/0.01/0.48/ 0.00 / 176
Llama-3-8B	0.01/0.01/0.41/ 0.04 / 161	0.01/0.01/0.39/ 0.05 / 161	0.00/0.00/0.52/ 0.01 / 186	0.00/0.00/0.50/ 0.01 / 180	0.00/0.00/0.53/ 0.01 / 190	0.00/0.00/0.44/ 0.01 / 160	0.00/0.00/0.00/ 0.00 / 0	0.00/0.00/0.41/ 0.04 / 160
tulu-7b	0.01/0.00/0.65/ 0.00 / 231	0.00/0.00/0.59/ 0.01 / 213	0.01/0.01/0.63/ 0.01 / 228	0.00/0.00/0.62/ 0.01 / 222	0.00/0.00/0.00/ 0.00 / 0	0.00/0.00/0.00/ 0.00 / 0	0.00/0.00/0.00/ 0.00 / 0	0.00/0.00/0.65/ 0.00 / 231
