	preference	preference	preference	preference	preference	preference	preference	preference	preference	preference	preference	preference	preference	preference
prompt_template	Date	Date	Date Today	Date Today	Emph Src CNN/Nat	Emph Src CNN/Nat	Emph Src Wiki/WP	Emph Src Wiki/WP	Emph URL CNN/Nat	Emph URL CNN/Nat	Emph URL Wiki/WP	Emph URL Wiki/WP	Rank	Rank
stance	no	yes	no	yes	no	yes	no	yes	no	yes	no	yes	no	yes
model														
Llama-2-13b	0.17676767676767677	0.17647058823529413	0.215	0.21951219512195122	0.2571428571428571	0.20786516853932585	0.23711340206185566	0.23232323232323232	0.22058823529411764	0.2552083333333333	0.21287128712871287	0.19902912621359223	0.18877551020408162	0.1717171717171717
Llama-2-7b	0.02631578947368421	0.03684210526315789	0.034653465346534656	0.06179775280898876	0.3072289156626506	0.24358974358974358	0.2847222222222222	0.27848101265822783	0.02717391304347826	0.030927835051546393	0.03125	0.046875	0.03125	0.0449438202247191
Llama-3-8B	0.30597014925373134	0.31690140845070425	0.14583333333333334	0.5633802816901409	0.29285714285714287	0.35064935064935066	0.3472222222222222	0.37341772151898733	0.3670886075949367	0.37012987012987014	0.3787878787878788	0.34285714285714286	0.3271604938271605	0.38028169014084506
gpt-4-turbo	0.39622641509433965	0.532051282051282	0.3382352941176471	0.7277777777777777			0.42783505154639173	0.44021739130434784			0.4368421052631579	0.42788461538461536	0.4481132075471698	0.455
tulu-7b	0.291044776119403	0.2692307692307692	0.24324324324324326	0.3253968253968254	0.2916666666666667	0.30625	0.29213483146067415	0.2848101265822785	0.3271604938271605	0.34210526315789475	0.35	0.3108108108108108	0.2714285714285714	0.26865671641791045
