	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio	disagree_ratio
prompt_template	Date	Date	Date Today	Date Today	Emph Src CNN/Nat	Emph Src CNN/Nat	Emph Src Wiki/WP	Emph Src Wiki/WP	Emph URL CNN/Nat	Emph URL CNN/Nat	Emph URL Wiki/WP	Emph URL Wiki/WP	Rank	Rank
stance	no	yes	no	yes	no	yes	no	yes	no	yes	no	yes	no	yes
model														
Llama-2-13b	0.208	0.184	0.2	0.344	0.16	0.288	0.224	0.208	0.184	0.232	0.192	0.176	0.216	0.208
Llama-2-7b	0.24	0.24	0.192	0.288	0.336	0.376	0.424	0.368	0.264	0.224	0.232	0.232	0.232	0.288
Llama-3-8B	0.464	0.432	0.424	0.432	0.44	0.384	0.424	0.368	0.368	0.384	0.472	0.44	0.352	0.432
gpt-4-turbo	0.152	0.376	0.184	0.28			0.224	0.264			0.24	0.168	0.152	0.2
tulu-7b	0.464	0.48	0.408	0.496	0.328	0.36	0.288	0.368	0.352	0.392	0.44	0.408	0.44	0.464
